2018 | 2019 | 2020 | 2021,No.,Cover,Title/Contents,Model,Lng*,Scale,2018,2019,2020,2021
No.,Cover,Title/Contents,Model,Lng*,Scale,,,,,
2018,,,,,,,,,,
1,https://static.wikia.nocookie.net/memoryalpha/images/2/29/Star_Trek_Discovery_Starships_Collection_issue_01.jpg/revision/latest/scale-to-width-down/180?cb=20180221220425&path-prefix=en,"USS Shenzhou NCC-1227
31/01/2018

Contents, p. 2
USS Shenzhou NCC-1227 Specification, p. 3
USS Shenzhou NCC-1227, pp. 4-7
Designing The USS Shenzhou, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/c/c6/Eaglemoss_USS_Shenzhou.jpg/revision/latest/scale-to-width-down/240?cb=20200322235720&path-prefix=en,200 mm,1:2115,,,,,
2,https://static.wikia.nocookie.net/memoryalpha/images/e/e1/Star_Trek_Discovery_Starships_Collection_issue_2.jpg/revision/latest/scale-to-width-down/180?cb=20180321135643&path-prefix=en,"USS Discovery NCC-1031 [5]
03/03/2018

Contents, p. 2
USS Discovery NCC-1031 Specification, p. 3
USS Discovery NCC-1031, pp. 4-7
Designing The USS Discovery, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/7/7e/Eaglemoss_USS_Discovery.jpg/revision/latest/scale-to-width-down/240?cb=20200323000146&path-prefix=en,249 mm,1:3014,,,,,
3,https://static.wikia.nocookie.net/memoryalpha/images/f/fb/Star_Trek_Discovery_Starships_Collection_issue_3.jpg/revision/latest/scale-to-width-down/180?cb=20180521043830&path-prefix=en,"USS Kerala NCC-1255
12/06/2018

Contents, p. 2
USS Kerala NCC-1255 Specification, p. 3
USS Kerala NCC-1255, pp. 4-9
Designing The USS Kerala, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/0/05/Eaglemoss_USS_Kerala.jpg/revision/latest/scale-to-width-down/240?cb=20180612081933&path-prefix=en,215 mm,1:2351,,,,,
4,https://static.wikia.nocookie.net/memoryalpha/images/9/98/Star_Trek_Discovery_Starships_Collection_issue_4.jpg/revision/latest/scale-to-width-down/180?cb=20180521044540&path-prefix=en,"Klingon Bird-of-Prey
21/07/2018

Contents, p. 2
Klingon Bird-of-Prey Specification, p. 3
Klingon Bird-of-Prey, pp. 4-7
Designing The Klingon Bird-of-Prey, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/0/0d/Eaglemoss_Klingon_Bird-of-Prey_%28mid_23rd_century%29.jpg/revision/latest/scale-to-width-down/240?cb=20200418005401&path-prefix=en,140 mm,1:1348,,,,,
5,https://static.wikia.nocookie.net/memoryalpha/images/9/97/Star_Trek_Discovery_Starships_Collection_issue_5.jpg/revision/latest/scale-to-width-down/180?cb=20180607100329&path-prefix=en,"USS Europa NCC-1648
21/08/2018

Contents, p. 2
USS Europa NCC-1648 Specification, p. 3
USS Europa NCC-1648, pp. 4-7
Designing The Admiral's Ship, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/5/5f/Eaglemoss_USS_Europa.jpg/revision/latest/scale-to-width-down/240?cb=20200322235023&path-prefix=en,183 mm,1:2095,,,,,
6,https://static.wikia.nocookie.net/memoryalpha/images/f/fe/Star_Trek_Discovery_Starships_Collection_issue_6.jpg/revision/latest/scale-to-width-down/180?cb=20180607100424&path-prefix=en,"Vulcan Cruiser
28/09/2018

Contents, p. 2
Vulcan Cruiser Specification, p. 3
Vulcan Cruiser, pp. 4-7
Designing The Vulcan Cruiser, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/e/ed/Eaglemoss_Vulcan_Cruiser.jpg/revision/latest/scale-to-width-down/240?cb=20181004031122&path-prefix=en,203 mm,1:700,,,,,
7,https://static.wikia.nocookie.net/memoryalpha/images/b/be/Star_Trek_Discovery_Official_Starships_Collection_issue_7.jpg/revision/latest/scale-to-width-down/180?cb=20180805150337&path-prefix=en,"USS Buran NCC-1422
10/11/2018

Contents, p. 2
USS Buran NCC-1422 Specification, p. 3
USS Buran NCC-1422, pp. 4-7
Designing The Cardenas-class, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/3/3a/Eaglemoss_USS_Buran_DIS.jpg/revision/latest/scale-to-width-down/240?cb=20181031173313&path-prefix=en,218 mm,1:2023,,,,,
8,https://static.wikia.nocookie.net/memoryalpha/images/7/70/Star_Trek_Discovery_Official_Starships_Collection_issue_8.jpg/revision/latest/scale-to-width-down/180?cb=20181017105018&path-prefix=en,"Klingon Qugh-class
26/11/2018

Contents, p. 2
Klingon Empire Qugh Class Specification, p. 3
Klingon Qugh Class, pp. 4-7
Designing The Qugh Class, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/8/8b/Eaglemoss_QUGH_Class_Destroyer.jpg/revision/latest/scale-to-width-down/240?cb=20181229172500&path-prefix=en,216 mm,1:6299,,,,,
